blue_ADC_champion	blue_Jungle_champion	blue_Middle_champion	blue_Support_champion	blue_Top_champion	red_ADC_champion	red_Jungle_champion	red_Middle_champion	red_Support_champion	red_Top_champion	blue_ban1	blue_ban2	blue_ban3	blue_ban4	blue_ban5	red_ban1	red_ban2	red_ban3	red_ban4	red_ban5	league	blue_win
Ezreal	Rengar	Azir	Malzahar	Nautilus	Caitlyn	Kha'zix	Orianna	Lulu	Fizz	LeBlanc	Shen	Syndra	Ahri	Talon	Lee Sin	Graves	Camille	Zyra	Thresh	NALCS	0
Twitch	Elise	LeBlanc	Camille	Gragas	Caitlyn	Rengar	Syndra	Zyra	Nautilus	Orianna	Varus	Malzahar	Ashe	Fizz	Lee Sin	Kennen	Shen	Karma	Lucian	EULCS	1
Ezreal	Kha'zix	LeBlanc	Tahm Kench	Gragas	Vayne	Elise	Ryze	Thresh	Camille	Kennen	Lee Sin	Shen	Kalista	Twitch	Orianna	Varus	Malzahar	Zyra	Fizz	EULCS	0
Kennen	Kha'zix	Aurelion Sol	Camille	Shen	Ashe	Elise	Syndra	Zyra	Renekton	Orianna	Varus	Malzahar	Tahm Kench	Rumble	Lee Sin	LeBlanc	Ryze	Ekko		EULCS	1
Lucian	Ivern	Orianna	Lulu	Nautilus	Ashe	Elise	Taliyah	Zyra	Shen	LeBlanc	Jayce	Camille	Renekton	Fizz	Graves	Syndra	Rengar	Lee Sin	Kha'zix	TCL	1
Ashe	Rengar	Ahri	Nami	Shen	Lucian	Gragas	Zilean	Karma	Renekton	Syndra	Nautilus	Ivern	Rumble	Lee Sin	Camille	Graves	Lulu	Varus	Ezreal	TCL	1
Ashe	Rengar	Kassadin	Nami	Nautilus	Lucian	Ivern	Vladimir	Karma	Shen	LeBlanc	Jayce	Camille	Varus	Lee Sin	Syndra	Graves	Lulu	Orianna	Cassiopeia	TCL	0
Varus	Ivern	Ahri	Lulu	Maokai	Ezreal	Graves	Orianna	Karma	Aatrox	Syndra	Nautilus	Fizz	Renekton	Rumble	Camille	Shen	Lucian	Gragas	Kennen	TCL	1
Ashe	Rengar	Ahri	Nami	Dr. Mundo	Kennen	Graves	Orianna	Zyra	Rumble	Malzahar	Nautilus	Shen	Talon	Zed	Aurelion Sol	Camille	Lulu	Fizz	Kled	NALCS	1
Caitlyn	Rengar	Talon	Karma	Rumble	Ashe	Graves	Syndra	Nami	Fizz	Camille	Aurelion Sol	Lulu	Vladimir	Ahri	Malzahar	Nautilus	Shen	Ezreal	Varus	NALCS	1
Ashe	Rengar	Orianna	Karma	Renekton	Ezreal	Graves	Syndra	Nami	Nautilus	Aurelion Sol	Camille	Lulu	Vladimir	Ahri	Malzahar	Shen	Rumble	Maokai	Fizz	NALCS	1
Kalista	Graves	Ekko	Nami	Camille	Ashe	Evelynn	Talon	Karma	Renekton	Malzahar	Rumble	Shen	Elise	Orianna	Aurelion Sol	Rengar	Lulu	Vladimir	Ahri	NALCS	0
Lucian	Kha'zix	Syndra	Nami	Nautilus	Ashe	Graves	Viktor	Zyra	Gragas	Vladimir	Shen	Kassadin	Maokai	Poppy	Camille	Rumble	Rengar	Malzahar	Varus	LMS	1
Ezreal	Kha'zix	Orianna	Nami	Nautilus	Ashe	Rengar	Taliyah	Lulu	Maokai	Vladimir	Shen	Talon	LeBlanc	Zed	Camille	Rumble	Syndra	Lucian	Varus	LMS	1
Varus	Graves	Malzahar	Sona	Ekko	Ashe	Lee Sin	Taliyah	Lulu	Rumble	Rengar	Aurelion Sol	Ahri	Talon	Cassiopeia	Fiora	Syndra	Camille	Renekton	Nautilus	LMS	0
Ashe	Lee Sin	Taliyah	Lulu	Kled	Varus	Elise	Talon	Fiddlesticks	Gragas	Ivern	Fiora	Renekton	Zyra	Thresh	Syndra	Rumble	Aurelion Sol	Ahri	Cassiopeia	LMS	1
Ashe	Elise	LeBlanc	Lulu	Nautilus	Varus	Lee Sin	Corki	Malzahar	Rumble	Karma	Ezreal	Lucian	Talon	Graves	Syndra	Camille	Zyra	Orianna	Zilean	LCK	0
Varus	Graves	Ryze	Zyra	Kennen	Ashe	Lee Sin	LeBlanc	Blitzcrank	Sion	Syndra	Elise	Fizz	Vel'koz	Shen	Karma	Rumble	Camille	Corki	Talon	LCK	1
Ashe	Elise	Viktor	Miss Fortune	Camille	Jhin	Graves	Orianna	Malzahar	Poppy	Syndra	Fizz	Varus	Renekton	Shen	Karma	Rumble	Zyra	Lulu	Talon	LCK	1
Ashe	Graves	Katarina	Tahm Kench	Nautilus	Varus	Lee Sin	LeBlanc	Braum	Akali	Malzahar	Camille	Elise	Fizz	Kled	Rengar	Lulu	Shen	Zyra	Karma	EUPR	0
Varus	Rek'Sai	Orianna	Karma	Fizz	Ashe	Graves	Syndra	Nautilus	Jayce	Shen	Lulu	Rengar	Gragas	Tahm Kench	Malzahar	Camille	LeBlanc	Zyra	Braum	EUPR	0
Ashe	Graves	Syndra	Nautilus	Rumble	Varus	Lee Sin	Ahri	Braum	Jarvan IV	Malzahar	Camille	LeBlanc	Fizz	Kled	Shen	Lulu	Rengar	Zyra	Karma	EUPR	1
Ezreal	Lee Sin	Syndra	Zyra	Gragas	Varus	Kha'zix	Orianna	Lulu	Rumble	Shen	Rengar	Graves	Akali	Nautilus	Malzahar	Camille	LeBlanc	Kled	Ashe	EUPR	1
Kennen	Lee Sin	LeBlanc	Zyra	Gragas	Ezreal	Kha'zix	Katarina	Karma	Nautilus	Shen	Rengar	Graves	Varus	Ashe	Malzahar	Camille	Lulu	Kled	Fizz	EUPR	0
Ezreal	Kha'zix	Orianna	Lulu	Gragas	Varus	Lee Sin	Viktor	Karma	Nautilus	Talon	Rumble	Zyra	Rengar	Taliyah	Malzahar	Syndra	Shen	Aurelion Sol	Anivia	EUPR	0
Ashe	Elise	Corki	Nautilus	Shen	Ezreal	Lee Sin	Viktor	Lulu	Rumble	Malzahar	Syndra	Camille	Varus	Orianna	Talon	Kha'zix	Rengar	Zyra	Karma	EUPR	1
Varus	Kha'zix	Orianna	Thresh	Gragas	Lucian	Rengar	Zilean	Zyra	Renekton	Talon	Nautilus	Ashe	Taliyah	Caitlyn	Malzahar	Syndra	Shen	Lulu	Karma	EUPR	0
Ezreal	Rek'Sai	LeBlanc	Zyra	Gragas	Ashe	Lee Sin	Corki	Lulu	Rumble	Talon	Kha'zix	Graves	Nautilus	Malzahar	Syndra	Camille	Rengar	Shen	Fizz	EUPR	1
Ezreal	Olaf	Cassiopeia	Zyra	Camille	Ashe	Lee Sin	Viktor	Malzahar	Renekton	Talon	Kha'zix	Graves	Caitlyn	Varus	Syndra	LeBlanc	Rengar	Elise	Rek'Sai	EUPR	1
Ashe	Lee Sin	Cassiopeia	Zyra	Fiora	Ezreal	Elise	Taliyah	Nautilus	Camille	Talon	Kha'zix	Graves	Shen	Renekton	LeBlanc	Rengar	Syndra	Gragas	Orianna	EUPR	1
Caitlyn	Rengar	LeBlanc	Malzahar	Rumble	Lucian	Lee Sin	Taliyah	Lulu	Kennen	Ezreal	Varus	Zyra	Syndra	Camille	Elise	Ashe	Graves	Renekton	Shen	LCK	1
Ashe	Elise	Ekko	Lulu	Kennen	Lucian	Graves	Syndra	Karma	Jayce	Zyra	Ezreal	Varus	Jhin	Caitlyn	Malzahar	Camille	Rumble	LeBlanc	Vladimir	LCK	1
Kalista	Graves	Ryze	Lulu	Nautilus	Jinx	Lee Sin	Malzahar	Karma	Kennen	Elise	Rumble	Caitlyn	Kog'Maw	LeBlanc	Ashe	Varus	Zyra	Syndra	Camille	LCK	0
Ezreal	Graves	Orianna	Karma	Camille	Twitch	Elise	Aurelion Sol	Zyra	Gragas	Shen	Kennen	LeBlanc	Kalista	Thresh	Varus	Syndra	Malzahar	Ashe	Caitlyn	EULCS	0
