blue_ADC_champion	blue_Jungle_champion	blue_Middle_champion	blue_Support_champion	blue_Top_champion	red_ADC_champion	red_Jungle_champion	red_Middle_champion	red_Support_champion	red_Top_champion	blue_ban1	blue_ban2	blue_ban3	blue_ban4	blue_ban5	red_ban1	red_ban2	red_ban3	red_ban4	red_ban5	league	blue_win
Kalista	Rengar	Orianna	Thresh	Maokai	Ezreal	Zac	Ryze	Braum	Ornn	Gangplank	Azir	Jayce	Illaoi	Fiora	Zoe	Malzahar	Gnar	Jarvan IV	Vladimir	NALCS	0
Kalista	Camille	Galio	Braum	Gnar	Ezreal	Sejuani	Vladimir	Alistar	Pantheon	Ornn	Kog'Maw	Tahm Kench	Varus	Tristana	Jayce	Azir	Shen	Cassiopeia	Ryze	CBLoL	1
Varus	Sejuani	Zilean	Braum	Graves	Ezreal	Jarvan IV	Ryze	Tahm Kench	Vladimir	Jayce	Camille	Azir	Cho'gath	Gnar	Kalista	Kog'Maw	Shen	Cassiopeia	Malzahar	CBLoL	0
Tristana	Jarvan IV	Ryze	Tahm Kench	Vladimir	Ezreal	Zac	Orianna	Alistar	Gnar	Jayce	Zoe	Braum	Ornn	Camille	Cassiopeia	Azir	Kalista	Kog'Maw	Sivir	CBLoL	0
Kalista	Gragas	Azir	Alistar	Gnar	Tristana	Jarvan IV	Fiddlesticks	Ornn	Gangplank	Malzahar	Sejuani	Tahm Kench	Taric	Braum	Jayce	Zoe	Camille	Zac	Illaoi	CBLoL	0
Varus	Sejuani	Galio	Braum	Ornn	Ezreal	Evelynn	Cassiopeia	Tahm Kench	Cho'gath	Jayce	Zoe	Camille	Ryze	Illaoi	Malzahar	Azir	Tristana	Gangplank	Orianna	CBLoL	1
Ezreal	Kha'zix	Ryze	Braum	Maokai	Tristana	Jarvan IV	Cassiopeia	Ornn	Cho'gath	Evelynn	Camille	Sejuani	Sivir	Varus	Kalista	Kog'Maw	Azir	Gnar	Gangplank	CBLoL	0
Tristana	Gragas	Azir	Tahm Kench	Ornn	Ezreal	Sejuani	Zoe	Shen	Cho'gath	Cassiopeia	Kog'Maw	Ryze	Gnar	Gangplank	Evelynn	Kalista	Camille	Jarvan IV	Jax	CBLoL	1
Kalista	Jarvan IV	Ryze	Braum	Vladimir	Xayah	Sejuani	Malzahar	Alistar	Ornn	Camille	Ezreal	Galio	Tristana	Kog'Maw	Jax	Azir	Tahm Kench	Zoe	Cassiopeia	CBLoL	1
Ezreal	Sejuani	Orianna	Tahm Kench	Ornn	Kog'Maw	Jarvan IV	Malzahar	Braum	Cho'gath	Zoe	Vladimir	Shen	Gnar	Gangplank	Azir	Camille	Kalista	Evelynn	Zac	CBLoL	1
Kalista	Kha'zix	Ryze	Taric	Gangplank	Tristana	Jarvan IV	Syndra	Alistar	Gnar	Camille	Ezreal	Sejuani	Jayce	Orianna	Azir	Vladimir	Tahm Kench	Braum	Xin Zhao	CBLoL	1
Sivir	Jarvan IV	Ryze	Braum	Cho'gath	Varus	Zac	Azir	Shen	Gnar	Gangplank	Sejuani	Ezreal	Shyvana	Kha'zix	Kalista	Tahm Kench	Kog'Maw	Camille	Ornn	TCL	1
Kog'Maw	Rengar	Corki	Tahm Kench	Ornn	Ezreal	Sejuani	Cassiopeia	Braum	Urgot	Gangplank	Gnar	Ryze	Cho'gath	Illaoi	Zoe	Kalista	Azir	Malzahar	Jarvan IV	TCL	0
Caitlyn	Jarvan IV	Azir	Tahm Kench	Cho'gath	Ezreal	Xin Zhao	Ryze	Janna	Trundle	Xerath	Sejuani	Camille	Vladimir	Gnar	Kalista	Ornn	Kog'Maw	Sivir	Xayah	TCL	0
Ezreal	Jarvan IV	Azir	Shen	Gnar	Vayne	Kha'zix	Ryze	Taric	Ornn	Gangplank	Tahm Kench	Sejuani	Tristana	Janna	Kalista	Kog'Maw	Zoe	Braum	Alistar	TCL	1
Varus	Zac	Azir	Ornn	Gnar	Ezreal	Jax	Ryze	Braum	Cho'gath	Gangplank	Sejuani	Xayah	Illaoi	Vladimir	Kalista	Zoe	Malzahar	Alistar	Tahm Kench	TCL	0
Tristana	Zac	Azir	Taric	Ornn	Varus	Jarvan IV	Kassadin	Braum	Shen	Tahm Kench	Gnar	Sejuani	Gangplank	Cho'gath	Zoe	Kalista	Kog'Maw	Janna	Alistar	TCL	1
Kog'Maw	Shyvana	Malzahar	Morgana	Kennen	Ezreal	Sejuani	Ziggs	Shen	Gnar	Camille	Xerath	Ornn	Azir	Braum	Jarvan IV	Kalista	Kha'zix	Jayce	Tahm Kench	TCL	0
Varus	Shyvana	Malzahar	Tahm Kench	Ornn	Xayah	Jarvan IV	Ryze	Taric	Nasus	Zoe	Ezreal	Kog'Maw	Shen	Tristana	Kalista	Camille	Braum	Sejuani	Kha'zix	TCL	0
Miss Fortune	Sejuani	Azir	Braum	Gnar	Ezreal	Jarvan IV	Veigar	Janna	Gangplank	Shen	Xerath	Camille	Jayce	Zoe	Ryze	Ornn	Kalista	Lulu	Tristana	TCL	0
Tristana	Shyvana	Azir	Taric	Jayce	Ezreal	Jarvan IV	Xerath	Braum	Malphite	Ryze	Kog'Maw	Kalista	Janna	Cho'gath	Zoe	Ornn	Camille	Sejuani	Zac	TCL	0
Tristana	Lee Sin	Azir	Braum	Ornn	Ezreal	Kha'zix	Vladimir	Tahm Kench	Cho'gath	Gangplank	Sejuani	Kog'Maw	Zoe	Malzahar	Kalista	Ryze	Galio	Varus	Sivir	TCL	1
Kog'Maw	Jax	Ryze	Tahm Kench	Gangplank	Ezreal	Jarvan IV	Zoe	Janna	Olaf	Taric	Xayah	Kha'zix	Galio	Ornn	Kalista	Braum	Zac	Shen	Shyvana	TCL	1
Sivir	Jarvan IV	Galio	Alistar	Gnar	Ezreal	Sejuani	Corki	Braum	Camille	Ryze	Gangplank	Azir	Cassiopeia	Ornn	Kalista	Kog'Maw	Varus	Tristana	Vayne	TCL	0
Tristana	Jarvan IV	Galio	Braum	Camille	Xayah	Xin Zhao	Veigar	Rakan	Cho'gath	Ezreal	Sejuani	Azir	Cassiopeia	Corki	Ornn	Kalista	Ryze	Alistar	Shen	TCL	0
Kalista	Kha'zix	Malzahar	Tahm Kench	Nasus	Caitlyn	Ivern	Ryze	Braum	Cho'gath	Gangplank	Sejuani	Azir	Gnar	Zac	Zoe	Kog'Maw	Jarvan IV	Ornn	Rengar	TCL	0
Tristana	Zac	Zoe	Alistar	Gangplank	Ezreal	Jarvan IV	Malzahar	Braum	Vladimir	Kalista	Tahm Kench	Galio	Kha'zix	Sejuani	Shen	Lucian	Kog'Maw	Taric	Evelynn	NALCS	1
Kalista	Sejuani	Taliyah	Taric	Camille	Ezreal	Zac	Malzahar	Shen	Gnar	Azir	Braum	Zoe	Alistar	Ryze	Tahm Kench	Kog'Maw	Jayce	Tristana	Sivir	NALCS	1
Ezreal	Kha'zix	Syndra	Tahm Kench	Maokai	Varus	Jarvan IV	Taliyah	Lulu	Gnar	Kog'Maw	Ryze	Gangplank	Zac	Sejuani	Orianna	Azir	Zoe	Rengar	Ornn	NALCS	1
Ezreal	Jarvan IV	Vladimir	Braum	Gnar	Tristana	Zac	Ryze	Taric	Gangplank	Jayce	Sejuani	Ornn	Tahm Kench	Varus	Zoe	Kalista	Rengar	Orianna	Malzahar	NALCS	0
Tristana	Gragas	Malzahar	Taric	Gangplank	Caitlyn	Sejuani	Ryze	Braum	Gnar	Ornn	Varus	Zoe	Kog'Maw	Ezreal	Kalista	Jayce	Tahm Kench	Jarvan IV	Zac	NALCS	1
Kalista	Jarvan IV	Zoe	Taric	Gangplank	Ezreal	Kha'zix	Azir	Alistar	Camille	Vayne	Ryze	Kog'Maw	Vladimir	Ornn	Galio	Malzahar	Sejuani	Shen		LCK	1
Varus	Sejuani	Ryze	Shen	Camille	Caitlyn	Jarvan IV	Zoe	Alistar	Gangplank	Malzahar	Galio	Ezreal	Janna	Ornn	Vayne	Kog'Maw	Kalista	Braum	Tahm Kench	LCK	0
Ezreal	Jarvan IV	Zoe	Shen	Sion	Kalista	Kha'zix	Azir	Braum	Illaoi	Vladimir	Ryze	Varus	Camille	Ornn	Gangplank	Galio	Sejuani	Alistar	Tahm Kench	LCK	0
Kalista	Sejuani	Taliyah	Alistar	Camille	Kog'Maw	Jarvan IV	Zoe	Taric	Ornn	Galio	Gangplank	Sion	Malzahar	Tahm Kench	Ryze	Azir	Ezreal	Braum	Shen	LCK	1
Kalista	Jarvan IV	Malzahar	Ornn	Camille	Ezreal	Sejuani	Karthus	Tahm Kench	Gangplank	Shen	Vladimir	Kog'Maw	Syndra	Gnar	Azir	Zoe	Ryze	Braum	Taric	LMS	0
Tristana	Shyvana	Ryze	Tahm Kench	Camille	Varus	Sejuani	Malzahar	Janna	Gangplank	Azir	Cassiopeia	Zoe	Braum	Taric	Kalista	Kog'Maw	Ezreal	Jarvan IV	Zac	LMS	0
Varus	Zac	Corki	Janna	Gangplank	Ezreal	Kha'zix	Malzahar	Braum	Vladimir	Cassiopeia	Ryze	Zoe	Camille	Jarvan IV	Kalista	Kog'Maw	Sejuani	Taric	Tahm Kench	LMS	0
Ezreal	Kha'zix	Azir	Braum	Maokai	Kog'Maw	Lee Sin	Ryze	Tahm Kench	Gnar	Varus	Sejuani	Malzahar	Ornn	Yorick	Camille	Gangplank	Zoe	Vladimir	Jayce	LMS	1
Kog'Maw	Zac	Malzahar	Braum	Trundle	Varus	Shyvana	Ryze	Taric	Ornn	Camille	Gangplank	Tahm Kench	Illaoi	Jarvan IV	Zoe	Sejuani	Ezreal	Lee Sin	Kha'zix	LMS	1
Kalista	Nidalee	Zoe	Taric	Gangplank	Varus	Lee Sin	Malzahar	Tahm Kench	Gnar	Kog'Maw	Sejuani	Braum	Vladimir	Jayce	Ezreal	Camille	Ryze	Alistar	Janna	LMS	1
Kog'Maw	Jarvan IV	Karma	Janna	Gnar	Varus	Sejuani	Taliyah	Braum	Vladimir	Kalista	Malzahar	Ezreal	Camille	Ornn	Azir	Zoe	Ryze	Taric	Tahm Kench	LMS	1
Varus	Nidalee	Karma	Janna	Ornn	Kog'Maw	Sejuani	Fiddlesticks	Braum	Gnar	Kalista	Malzahar	Ezreal	Camille	Orianna	Zoe	Ryze	Azir	Taric	Tahm Kench	LMS	1
Ezreal	Lee Sin	Azir	Nami	Gnar	Sivir	Kha'zix	Ryze	Tahm Kench	Ornn	Camille	Zoe	Gangplank	Kalista	Varus	Sejuani	Kog'Maw	Braum	Janna	Alistar	LMS	0
Kalista	Jarvan IV	Ryze	Tahm Kench	Ornn	Varus	Kha'zix	Malzahar	Braum	Maokai	Sejuani	Kog'Maw	Azir	Gnar	Shen	Zoe	Camille	Ezreal	Vladimir	Gangplank	LMS	1
Kog'Maw	Jarvan IV	Ryze	Tahm Kench	Maokai	Ezreal	Jax	Cassiopeia	Braum	Gnar	Camille	Varus	Malzahar	Ornn	Gangplank	Sejuani	Kalista	Zoe	Vladimir	Lucian	LMS	0
Ezreal	Jax	Azir	Taric	Gnar	Kog'Maw	Kha'zix	Ryze	Braum	Gangplank	Camille	Cassiopeia	Veigar	Vladimir	Ornn	Sejuani	Zoe	Janna	Tahm Kench	Alistar	LMS	0
Caitlyn	Jarvan IV	Zoe	Tahm Kench	Gnar	Varus	Sejuani	Malzahar	Brand	Gangplank	Camille	Azir	Taliyah	Vladimir	Jayce	Kalista	Ryze	Ornn	Kog'Maw	Ezreal	LMS	1
Kalista	Zac	Orianna	Taric	Camille	Varus	Jax	Malzahar	Tahm Kench	Vladimir	Ryze	Ornn	Zoe	Jarvan IV	Kha'zix	Taliyah	Azir	Shen	Corki	Braum	LMS	0
Ezreal	Shyvana	Malzahar	Braum	Gnar	Sivir	Jarvan IV	Zoe	Tahm Kench	Jayce	Ryze	Ornn	Kalista	Varus	Caitlyn	Taric	Kog'Maw	Tristana	Sejuani	Kha'zix	TCL	0
Ezreal	Sejuani	Azir	Tahm Kench	Cho'gath	Tristana	Zac	Veigar	Braum	Gangplank	Katarina	Zoe	Ryze	Ornn	Jarvan IV	Kalista	Kog'Maw	Galio	Janna	Taric	TCL	1
Kog'Maw	Lee Sin	Azir	Tahm Kench	Gnar	Varus	Jarvan IV	Xerath	Janna	Vladimir	Gangplank	Sejuani	Ezreal	Camille	Veigar	Ornn	Kalista	Ryze	Jax	Kha'zix	TCL	0
Xayah	Jarvan IV	Ryze	Rakan	Gangplank	Tristana	Zac	Galio	Janna	Vladimir	Braum	Ezreal	Ornn	Malzahar	Cassiopeia	Zoe	Azir	Kalista	Kog'Maw	Lulu	TCL	1
Caitlyn	Zac	Ryze	Braum	Ornn	Sivir	Nidalee	Zoe	Tahm Kench	Gangplank	Ezreal	Janna	Gnar	Jarvan IV	Sejuani	Taric	Kog'Maw	Kalista	Varus	Tristana	TCL	0
Varus	Sejuani	Azir	Tahm Kench	Camille	Tristana	Jarvan IV	Zoe	Taric	Ornn	Gnar	Ryze	Kog'Maw	Ezreal	Kalista	Galio	Gangplank	Vladimir	Malzahar	Illaoi	LCK	0
Tristana	Jarvan IV	Azir	Taric	Ornn	Kog'Maw	Rek'Sai	Zoe	Tahm Kench	Poppy	Vladimir	Galio	Gangplank	Nidalee	Kha'zix	Gnar	Ryze	Sejuani	Malzahar	Taliyah	LCK	1
Ezreal	Shyvana	Ryze	Alistar	Gnar	Kalista	Kha'zix	Zoe	Taric	Ornn	Azir	Kog'Maw	Sejuani	Camille	Tahm Kench	Galio	Jarvan IV	Zac	Jax	Gangplank	LCK	0
Kalista	Jax	Ryze	Ornn	Gnar	Ezreal	Kha'zix	Zoe	Braum	Vladimir	Jarvan IV	Zac	Galio	Gangplank	Alistar	Sejuani	Azir	Kog'Maw	Rengar	Lee Sin	LCK	1
Ezreal	Nidalee	Ryze	Taric	Gangplank	Kalista	Jarvan IV	Azir	Braum	Gnar	Vladimir	Galio	Zoe	Kha'zix	Ornn	Jayce	Sejuani	Tahm Kench	Alistar	Janna	LCK	1
Ezreal	Rengar	Zoe	Taric	Gangplank	Kalista	Kha'zix	Malzahar	Tahm Kench	Riven	Jayce	Braum	Ryze	Camille	Ornn	Sejuani	Vladimir	Galio	Alistar	Jarvan IV	LCK	0
Ezreal	Camille	Galio	Alistar	Gnar	Kog'Maw	Jarvan IV	Corki	Morgana	Gangplank	Sejuani	Malzahar	Azir	Tahm Kench	Taric	Ryze	Braum	Ornn	Zoe	Vladimir	LCK	1
Ezreal	Jax	Zoe	Alistar	Vladimir	Varus	Jarvan IV	Azir	Leona	Gangplank	Ryze	Braum	Kog'Maw	Tahm Kench	Ornn	Galio	Sejuani	Kalista	Camille	Kha'zix	LCK	0
Kalista	Jax	Malzahar	Alistar	Maokai	Varus	Kha'zix	Taliyah	Ornn	Trundle	Zoe	Sejuani	Vladimir	Ezreal	Gnar	Galio	Ryze	Azir	Gangplank	Braum	LCK	1
Vayne	Jax	Zoe	Alistar	Gangplank	Ezreal	Sejuani	Taliyah	Tahm Kench	Gnar	Ryze	Malzahar	Galio	Ornn	Jayce	Kalista	Vladimir	Azir	Braum	Taric	LCK	0
Ezreal	Sejuani	Corki	Tahm Kench	Gangplank	Sivir	Zac	Galio	Alistar	Nasus	Ryze	Gnar	Vladimir	Camille	Braum	Bard	Kalista	Sion	Azir	Taliyah	LCK	1
Kog'Maw	Sejuani	Kassadin	Soraka	Gangplank	Sivir	Jarvan IV	Azir	Tahm Kench	Rumble	Bard	Galio	Kalista	Camille	Varus	Ryze	Vladimir	Ezreal	Braum	Zoe	LCK	1
Kalista	Kha'zix	Azir	Alistar	Gangplank	Ezreal	Camille	Zoe	Tahm Kench	Ornn	Ryze	Gnar	Vladimir	Braum	Jarvan IV	Bard	Galio	Sejuani	Malzahar	Taliyah	LCK	1
Xayah	Jax	Azir	Rakan	Cho'gath	Tristana	Zac	Veigar	Braum	Camille	Morgana	Sejuani	Alistar	Syndra	Ryze	Zoe	Kog'Maw	Nunu	Urgot	Shen	NAAc	0
Xayah	Gragas	Zoe	Rakan	Gangplank	Ezreal	Sejuani	Azir	Tahm Kench	Gnar	Ornn	Ryze	Tristana	Kalista	Camille	Nunu	Galio	Kog'Maw	Jarvan IV	Zac	NAAc	1
Ezreal	Zac	Azir	Lulu	Gnar	Xayah	Jarvan IV	Galio	Taric	Camille	Ryze	Kog'Maw	Tristana	Riven	Rakan	Nunu	Zoe	Kennen	Braum	Tahm Kench	NAAc	0
Xayah	Evelynn	Azir	Rakan	Ornn	Kog'Maw	Jarvan IV	Malzahar	Tahm Kench	Gnar	Ryze	Zoe	Alistar	Braum	Taric	Camille	Zac	Galio	Sejuani	Nunu	NAAc	1
Kalista	Nunu	Cassiopeia	Braum	Ornn	Kog'Maw	Jax	Ryze	Janna	Illaoi	Sejuani	Zac	Galio	Jarvan IV	Gnar	Zoe	Azir	Camille	Taliyah	Orianna	NAAc	0
Caitlyn	Jarvan IV	Galio	Braum	Camille	Xayah	Sejuani	Vladimir	Janna	Illaoi	Kalista	Azir	Tahm Kench	Taliyah	Rakan	Zoe	Ryze	Kog'Maw	Tristana	Varus	NAAc	1
Tristana	Evelynn	Zoe	Tahm Kench	Gnar	Kalista	Sejuani	Galio	Braum	Gangplank	Zac	Camille	Xayah	Rakan	Jayce	Alistar	Nunu	Jarvan IV	Jax	Taric	NAAc	1
Xayah	Kha'zix	Galio	Rakan	Ornn	Tristana	Jarvan IV	Corki	Alistar	Gnar	Ryze	Zoe	Kalista	Taric	Braum	Nunu	Evelynn	Camille	Zac	Rengar	NAAc	0
Varus	Jax	Galio	Janna	Gnar	Tristana	Jarvan IV	Taliyah	Taric	Riven	Azir	Ryze	Xayah	Camille	Gangplank	Nunu	Zoe	Kog'Maw	Sejuani	Zac	NAAc	0
Kog'Maw	Sejuani	Galio	Alistar	Gangplank	Varus	Jarvan IV	Ryze	Taric	Kled	Tahm Kench	Ornn	Tristana	Kalista	Xayah	Zoe	Azir	Nunu	Camille	Zac	NAAc	1
Tristana	Jarvan IV	Ryze	Alistar	Gnar	Caitlyn	Zac	Zoe	Braum	Jayce	Camille	Galio	Kalista	Sejuani	Kha'zix	Nunu	Tahm Kench	Kog'Maw	Varus	Xayah	EULCS	1
Jinx	Jarvan IV	Azir	Thresh	Gnar	Caitlyn	Camille	Galio	Braum	Jayce	Zoe	Kalista	Ryze	Zac	Jax	Nunu	Sejuani	Kog'Maw	Varus	Tahm Kench	EULCS	1
Kalista	Kha'zix	Azir	Braum	Cho'gath	Varus	Sejuani	Zoe	Alistar	Camille	Zac	Jarvan IV	Ryze	Tristana	Jinx	Kog'Maw	Caitlyn	Tahm Kench	Evelynn	Ornn	EULCS	0
Tristana	Jarvan IV	Zoe	Janna	Ornn	Kog'Maw	Sejuani	Azir	Tahm Kench	Maokai	Zac	Galio	Caitlyn	Lulu	Zilean	Ryze	Kalista	Nunu	Braum	Camille	EULCS	1
Xayah	Nunu	Azir	Rakan	Ornn	Kog'Maw	Sejuani	Zoe	Braum	Gangplank	Caitlyn	Ryze	Kalista	Jayce	Camille	Tristana	Galio	Tahm Kench	Jarvan IV	Zac	EULCS	0
Ezreal	Rengar	Galio	Braum	Jayce	Kalista	Gragas	Azir	Alistar	Ornn	Jarvan IV	Zac	Kha'zix	Jax	Shyvana	Sejuani	Ryze	Nidalee	Camille	Vladimir	LCK	1
Kalista	Rengar	Zoe	Shen	Gnar	Ezreal	Kha'zix	Malzahar	Alistar	Gangplank	Ryze	Nidalee	Braum	Jayce	Camille	Jarvan IV	Galio	Sejuani	Ornn	Tahm Kench	LCK	0
Kalista	Kha'zix	Malzahar	Taric	Gangplank	Kog'Maw	Jarvan IV	Syndra	Alistar	Gnar	Galio	Zoe	Vladimir	Corki	Taliyah	Sejuani	Ryze	Azir	Ornn	Zac	LCK	0
Kalista	Nidalee	Malzahar	Blitzcrank	Gnar	Ezreal	Rengar	Zoe	Tahm Kench	Maokai	Ryze	Azir	Ornn	Camille	Braum	Alistar	Galio	Sejuani	Zac	Jarvan IV	LCK	0
Varus	Rengar	Zoe	Taric	Camille	Ezreal	Nidalee	Malzahar	Shen	Gnar	Alistar	Galio	Vladimir	Kha'zix	Jarvan IV	Sejuani	Ryze	Kalista	Ornn	Tahm Kench	LCK	1
Kog'Maw	Gragas	Zoe	Braum	Cho'gath	Caitlyn	Jarvan IV	Malzahar	Thresh	Jax	Camille	Alistar	Sejuani	Gangplank	Gnar	Tahm Kench	Ryze	Kalista	Vladimir	Ornn	EULCS	0
Twitch	Sejuani	Galio	Braum	Camille	Caitlyn	Gragas	Zoe	Brand	Gnar	Azir	Zac	Jarvan IV	Skarner	Tahm Kench	Kalista	Ryze	Varus	Jinx	Kog'Maw	EULCS	1
Kalista	Sejuani	Corki	Shen	Gnar	Tristana	Zac	Aurelion Sol	Alistar	Camille	Tahm Kench	Zoe	Ryze	Ornn	Taliyah	Braum	Azir	Galio	Thresh	Janna	EULCS	0
Kog'Maw	Sejuani	Azir	Alistar	Gangplank	Tristana	Zac	Ryze	Taric	Gnar	Kalista	Zoe	Tahm Kench	Janna	Morgana	Galio	Braum	Nunu	Caitlyn	Varus	EULCS	0
Kog'Maw	Jax	Galio	Tahm Kench	Gnar	Tristana	Zac	Corki	Zilean	Ornn	Sejuani	Azir	Caitlyn	Braum	Taric	Ryze	Kalista	Zoe	Camille	Gangplank	EULCS	0
Kalista	Nunu	Zoe	Braum	Gnar	Tristana	Gragas	Ryze	Thresh	Gangplank	Zac	Cassiopeia	Azir	Shen	Alistar	Aurelion Sol	Tahm Kench	Sejuani	Taric	Janna	NALCS	1
Varus	Sejuani	Ryze	Alistar	Gnar	Kalista	Nunu	Orianna	Tahm Kench	Urgot	Cassiopeia	Galio	Kog'Maw	Braum	Jayce	Zoe	Azir	Gangplank	Evelynn	Zac	NALCS	1
Kalista	Jarvan IV	Galio	Shen	Jayce	Tristana	Sejuani	Taliyah	Braum	Gnar	Ryze	Corki	Zoe	Taric	Alistar	Varus	Gangplank	Azir	Camille	Thresh	NALCS	0
Xayah	Jarvan IV	Galio	Rakan	Gnar	Varus	Sejuani	Corki	Tahm Kench	Ornn	Tristana	Taliyah	Kalista	Gragas	Gangplank	Kog'Maw	Nunu	Zoe	Zac	Camille	NALCS	0
Kog'Maw	Sejuani	Taliyah	Braum	Gangplank	Varus	Zac	Corki	Karma	Gnar	Kalista	Galio	Rengar	Camille	Taric	Zoe	Azir	Ryze	Janna	Jayce	NALCS	1
Kalista	Zac	Cassiopeia	Braum	Gnar	Kog'Maw	Kha'zix	Ryze	Tahm Kench	Maokai	Ezreal	Nunu	Tristana	Sejuani	Rengar	Zoe	Gangplank	Azir	Alistar	Shen	NALCS	1
Kog'Maw	Jarvan IV	Twisted Fate	Alistar	Vladimir	Varus	Sejuani	Taliyah	Ornn	Gangplank	Camille	Azir	Galio	Braum	Tristana	Ryze	Zoe	Corki	Gnar	Jayce	NALCS	0
Kog'Maw	Jarvan IV	Galio	Braum	Gnar	Tristana	Zac	Azir	Taric	Ornn	Jayce	Gangplank	Corki	Janna	Morgana	Nunu	Camille	Rengar	Tahm Kench	Kha'zix	NALCS	0
Varus	Gragas	Orianna	Taric	Gangplank	Kog'Maw	Sejuani	Cassiopeia	Alistar	Gnar	Ryze	Taliyah	Malzahar	Syndra	Aurelion Sol	Zoe	Galio	Azir	Zac	Jarvan IV	NALCS	0
Kog'Maw	Jarvan IV	Zilean	Alistar	Gangplank	Tristana	Sejuani	Orianna	Braum	Gnar	Taliyah	Zac	Azir	Cassiopeia	Ryze	Zoe	Kalista	Galio	Aurelion Sol	Malzahar	NALCS	1
Kog'Maw	Sejuani	Zoe	Taric	Jayce	Ezreal	Zac	Ryze	Ornn	Gangplank	Jax	Malzahar	Braum	Jarvan IV	Kha'zix	Vladimir	Galio	Kalista	Gnar	Camille	LCK	0
Kalista	Jarvan IV	Ryze	Alistar	Ornn	Kog'Maw	Kha'zix	Azir	Tahm Kench	Gnar	Vladimir	Galio	Ezreal	Zoe	Braum	Jax	Gangplank	Sejuani	Jayce	Camille	LCK	0
Varus	Nidalee	Zoe	Braum	Camille	Tristana	Sejuani	Malzahar	Taric	Gnar	Gangplank	Ezreal	Jayce	Janna	Tahm Kench	Galio	Kalista	Kog'Maw	Vladimir	Ornn	LCK	0
Sivir	Gragas	Galio	Tahm Kench	Gnar	Ezreal	Jarvan IV	Corki	Ornn	Gangplank	Azir	Braum	Kha'zix	Alistar	Nidalee	Ryze	Vladimir	Sejuani	Camille	Jax	LCK	0
Xayah	Sejuani	Zoe	Rakan	Camille	Ezreal	Jax	Azir	Ornn	Fiora	Ryze	Vladimir	Jarvan IV	Tahm Kench	Alistar	Braum	Gangplank	Jayce	Kalista	Varus	LCK	1
Tristana	Kha'zix	Ryze	Taric	Ornn	Ezreal	Jarvan IV	Cassiopeia	Braum	Camille	Gangplank	Vladimir	Gnar	Kog'Maw	Varus	Zoe	Sejuani	Tahm Kench	Kalista	Caitlyn	LMS	1
Ezreal	Sejuani	Malzahar	Alistar	Gnar	Tristana	Jarvan IV	Azir	Taric	Vladimir	Zoe	Ornn	Tahm Kench	Ryze	Galio	Braum	Gangplank	Kalista	Kha'zix	Jax	LMS	0
Ezreal	Jarvan IV	Ryze	Ornn	Gnar	Tristana	Jax	Azir	Braum	Gangplank	Zoe	Sejuani	Galio	Varus	Kog'Maw	Camille	Kalista	Nidalee	Riven	Kha'zix	LMS	1
Ezreal	Gragas	Veigar	Taric	Gangplank	Varus	Nidalee	Azir	Braum	Riven	Camille	Kalista	Ornn	Vladimir	Gnar	Zoe	Sejuani	Galio	Alistar	Tahm Kench	LMS	1
Ezreal	Jarvan IV	Ryze	Tahm Kench	Gnar	Varus	Zac	Azir	Alistar	Vladimir	Zoe	Sejuani	Galio	Gangplank	Gragas	Camille	Kalista	Ornn	Braum	Taric	LMS	1
Varus	Sejuani	Karma	Janna	Ornn	Caitlyn	Jarvan IV	Galio	Braum	Shen	Kalista	Ezreal	Kog'Maw	Gangplank	Gnar	Zoe	Azir	Camille	Ryze	Nidalee	LMS	0
Varus	Jax	Corki	Tahm Kench	Ornn	Caitlyn	Sejuani	Galio	Braum	Trundle	Kalista	Ezreal	Kog'Maw	Jarvan IV	Gangplank	Zoe	Azir	Camille	Nidalee	Ryze	LMS	1
Varus	Jarvan IV	Corki	Tahm Kench	Gnar	Caitlyn	Kha'zix	Karma	Braum	Ornn	Kalista	Ezreal	Kog'Maw	Zac	Cassiopeia	Zoe	Azir	Camille		Ryze	LMS	1
Ezreal	Jarvan IV	Zoe	Braum	Gnar	Vayne	Kha'zix	Ryze	Tahm Kench	Maokai	Malzahar	Cassiopeia	Gangplank	Kalista	Vladimir	Ornn	Camille	Sejuani	Taliyah	Janna	LMS	1
Sivir	Zac	Ryze	Braum	Ornn	Ezreal	Sejuani	Taliyah	Alistar	Camille	Kalista	Vladimir	Gnar	Shen	Tahm Kench	Malzahar	Cassiopeia	Gangplank	Kha'zix	Jarvan IV	LMS	0
Ezreal	Kha'zix	Malzahar	Taric	Gangplank	Kalista	Jax	Ryze	Shen	Riven	Sejuani	Camille	Vladimir	Gnar	Ornn	Zoe	Tahm Kench	Azir	Cassiopeia	Braum	LMS	1
Tristana	Jarvan IV	Azir	Braum	Gnar	Xayah	Kha'zix	Ryze	Rakan	Vladimir	Sejuani	Camille	Kog'Maw	Caitlyn	Varus	Zoe	Taric	Ezreal	Alistar	Tahm Kench	LMS	1
Ezreal	Rengar	Cassiopeia	Braum	Vladimir	Varus	Jax	Ryze	Taric	Ornn	Kalista	Camille	Zac	Tristana	Kha'zix	Zoe	Gangplank	Azir	Jarvan IV	Sejuani	LMS	1
